Name,Price,Adress,img_link
Perruches ondulées,20000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4331659_uploaded_image1_1691773285.jpg
Chèvre Balami,200000,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_917895_uploaded_image1_1567801722.96.png
Verrat de race Large white,200000,Sénégal,https://images.coinafrique.com/thumb_929881_uploaded_image1_1568141260.81.png
Caille,1500,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5001807_uploaded_image1_1729346954.jpg
Oies  bourbonaises,50000,"Thies, Sénégal",https://images.coinafrique.com/thumb_990474_uploaded_image1_1569491306.15.png
Cailles,1500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4454743_uploaded_image1_1699793813.jpg
Perroquet,20000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4141464_uploaded_image1_1679320795.jpg
Perroquet,20000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4141464_uploaded_image1_1679320795.jpg
Perroquet,20000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4141464_uploaded_image1_1679320795.jpg
Paire d'oie,100000,"Thies, Sénégal",https://images.coinafrique.com/thumb_3418166_uploaded_image1_1635935843.jpg
Cheval,400000,"Fatick, Sénégal",https://images.coinafrique.com/thumb_1421206_uploaded_image2_1578050744.82.png
Cheval,400000,"Fatick, Sénégal",https://images.coinafrique.com/thumb_1421206_uploaded_image2_1578050744.82.png
Perroquet,20000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4141464_uploaded_image1_1679320795.jpg
Perruches ondulées,20000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4331659_uploaded_image1_1691773285.jpg
Biscuit en poudre pour betail,4000,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_1459836_uploaded_image1_1578670978.71.png
Boeufs,750000,"Tambacounda, Sénégal",https://images.coinafrique.com/thumb_1544433_uploaded_image1_1580089804.86.png
Chat siamois,350000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1825906_uploaded_image2_1584739800.55.png
Dindon rouge,30000,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1890125_uploaded_image1_1585933665.81.png
Chatons,400000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_3613416_uploaded_image1_1647551529.jpg
Chaton Persan,400000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4004300_uploaded_image1_1670782309.jpg
Chaton Scotish Fold,750000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4540889_uploaded_image1_1705029103.jpg
Boeuf,475,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_1998573_uploaded_image1_1587685670.89.jpeg
Chèvre Race Boer,650000,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_2061898_uploaded_image1_1588694077.jpg
Bœuf,450000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4379382_uploaded_image1_1694875556.jpg
Boeuf,600000,"Bambey, Sénégal",https://images.coinafrique.com/thumb_4196106_uploaded_image1_1682881461.jpg
Chaton york chocolat,150000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2240976_uploaded_image1_1591487576.jpg
Poussins  d’oies,35000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3569402_uploaded_image1_1644969388.jpg
Vaches,1500000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4504586_uploaded_image1_1702911785.jpg
Oies,130000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_2281845_uploaded_image1_1592124037.jpg
Perruches ondulées,20000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4331659_uploaded_image1_1691773285.jpg
Kittens / chatons,90000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_2319268_uploaded_image1_1592689460.jpg
Poussin dinde rouge,15000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4794677_uploaded_image1_1718313441.jpg
Chat blanc turc,150000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2388043_uploaded_image1_1593787521.jpg
Paon bleu adulte,300000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3372722_uploaded_image1_1633568000.jpg
Géniteur hollandais Holstein,1200000,"Mboro, Sénégal",https://images.coinafrique.com/thumb_2430101_uploaded_image1_1594560513.jpg
Oies,80000,"Diourbel, Sénégal",https://images.coinafrique.com/thumb_2550824_uploaded_image1_1597673774.jpg
Oies de garde,200000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4033376_uploaded_image1_1672817271.jpg
Paon bleu,225000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2663712_uploaded_image1_1601554766.jpg
Bouc chèvre,100000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_2673741_uploaded_image2_1601909107.jpeg
Chèvre Bouc de race,200000,"Louga, Sénégal",https://images.coinafrique.com/thumb_2675855_uploaded_image1_1601992602.jpg
Vaches laitières,2000000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_2687649_uploaded_image1_1602441772.jpg
Olpliitone 20 jours,15000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2701057_uploaded_image1_1602937383.jpg
Canard,35000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_2703622_uploaded_image1_1603049550.jpg
Vache,300000,"Louga, Sénégal",https://images.coinafrique.com/thumb_2709747_uploaded_image1_1603289227.jpg
Chaton Angora Turc,100000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2826620_uploaded_image1_1607777038.jpg
Vache,1000000,"Bambey, Sénégal",https://images.coinafrique.com/thumb_3804681_uploaded_image1_1659094431.jpg
Chaton angora,180000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4102298_uploaded_image1_1676900131.jpg
Veau,250000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2856538_uploaded_image1_1609162542.jpg
Canard Colvert,50000,"Thies, Sénégal",https://images.coinafrique.com/thumb_2876451_uploaded_image1_1610052488.jpg
Dinde rouge,70000,"Louga, Sénégal",https://images.coinafrique.com/thumb_2888081_uploaded_image1_1610544422.jpg
Perruches - inséparables,12500,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2896567_uploaded_image1_1610914575.jpg
Jument arabe,1500000,"Kébémer, Sénégal",https://images.coinafrique.com/thumb_2924412_uploaded_image1_1612197584.jpg
Perroquet Sénégal avec cage,35000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_2930350_uploaded_image1_1612388040.jpg
Oies de toulouse,450000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3413662_uploaded_image1_1635765247.jpg
Chaton Angora turque,160000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_2966724_uploaded_image1_1614082274.jpg
Bouc,130000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_2995656_uploaded_image1_1615445384.jpg
