web-scraper-order,web-scraper-start-url,containers,containers-href,Name,Price,Adress,img_link
"1732710760-1","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","https://sn.coinafrique.com/annonce/autres-animaux/perruches-751123","Perruches ondulées","20 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4331659_uploaded_image1_1691773285.jpg"
"1732710763-2","https://sn.coinafrique.com/categorie/autres-animaux?page=6","50 000CFA","https://sn.coinafrique.com/annonce/autres-animaux/carpe-koi-japonaise-aquarium-827220","","","",""
"1732710765-3","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","https://sn.coinafrique.com/annonce/autres-animaux/perruches-845280","Perruches","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_845280_uploaded_image1_1565952077.54.png"
"1732710768-4","https://sn.coinafrique.com/categorie/autres-animaux?page=6","35 000CFA","https://sn.coinafrique.com/annonce/autres-animaux/poisson-daquarium-863425","","","",""
"1732710770-5","https://sn.coinafrique.com/categorie/autres-animaux?page=6","400 000CFA","https://sn.coinafrique.com/annonce/autres-animaux/buf-885779","","","",""
"1732710773-6","https://sn.coinafrique.com/categorie/autres-animaux?page=6","200 000CFA","https://sn.coinafrique.com/annonce/autres-animaux/chevre-balami-917895","Chèvre Balami","200 000 CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_917895_uploaded_image1_1567801722.96.png"
"1732710775-7","https://sn.coinafrique.com/categorie/autres-animaux?page=6","200 000CFA","https://sn.coinafrique.com/annonce/autres-animaux/verrat-de-race-large-white-929881","Verrat de race Large white","200 000 CFA","Sénégal","https://images.coinafrique.com/thumb_929881_uploaded_image1_1568141260.81.png"
"1732710778-8","https://sn.coinafrique.com/categorie/autres-animaux?page=6","1 000CFA","https://sn.coinafrique.com/annonce/autres-animaux/caille-931708","Caille","1 500 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5001807_uploaded_image1_1729346954.jpg"
"1732710781-9","https://sn.coinafrique.com/categorie/autres-animaux?page=6","50 000CFA","https://sn.coinafrique.com/annonce/autres-animaux/oies-bourbonaises-990474","Oies  bourbonaises","50 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_990474_uploaded_image1_1569491306.15.png"
"1732710783-10","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","https://sn.coinafrique.com/annonce/autres-animaux/mouton-ladoum-pure-sang-1011139","Mouton ladoum pure sang","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_1011139_uploaded_image1_1569950027.26.png"
"1732710786-11","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419","Boeuf","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1129419_uploaded_image1_1572391697.86.png"
"1732710789-12","https://sn.coinafrique.com/categorie/autres-animaux?page=6","350 000CFA","https://sn.coinafrique.com/annonce/autres-animaux/bufs-1198114","","","",""
"1732710791-13","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-1310387","Paon bleu","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1310387_uploaded_image1_1575790267.47.png"
"1732710794-14","https://sn.coinafrique.com/categorie/autres-animaux?page=6","60 000CFA","https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1428089_uploaded_image1_1578172839.3.png"
"1732710806-15","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","https://sn.coinafrique.com/annonce/autres-animaux/oies-1322739","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1428089_uploaded_image1_1578172839.3.png"
"1732710809-16","https://sn.coinafrique.com/categorie/autres-animaux?page=5","12 000CFA","https://sn.coinafrique.com/annonce/autres-animaux/cailles-1376905","Cailles","1 500 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4454743_uploaded_image1_1699793813.jpg"
