Name,Price,Adress,img_link
Chiots Pitbull,250000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_742716_uploaded_image2_1563030467.78.png
Caniche bichons maltais,190000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_788455_uploaded_image1_1564267086.61.png
Chiot Boerboel,450000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3057395_uploaded_image1_1618335212.jpg
Pitbull Red Nose,220000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_778978_uploaded_image1_1564025139.31.png
Caniche bichons maltais,190000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_788455_uploaded_image1_1564267086.61.png
Chiots bergers allemands,200000,"Saly, Sénégal",https://images.coinafrique.com/thumb_4176841_uploaded_image1_1681482623.jpg
Pitbull black nose,250000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_900600_uploaded_image1_1567424429.78.png
Chiot Cane Corso,800000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_956906_uploaded_image1_1568758075.68.png
Boerboel femelle,400000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_989796_uploaded_image1_1569465977.94.png
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chiots akita américain,990000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_1536386_uploaded_image1_1580821754.85.png
Chiot berger allemand,200000,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_1115802_uploaded_image1_1572126146.27.png
Chien Rottweiler,375000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_1122493_uploaded_image1_1572275963.13.png
Chiots Berger Allemand,350000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4837526_uploaded_image1_1720683729.jpg
Chien Pittbull,350000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3474335_uploaded_image1_1638955282.jpg
Chiots Berger Allemand de race pure,125000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_1148739_uploaded_image1_1572796180.58.png
Chiot Berger allemand,300000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4396584_uploaded_image1_1696077607.jpg
Bichons malté,180000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_1176190_uploaded_image1_1573296965.03.png
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chien Pitbull,150000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_1339794_uploaded_image1_1576322961.44.png
Chiots shih tzu,250000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_2536904_uploaded_image1_1597236557.jpg
Chiots Berger Allemand,350000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4837526_uploaded_image1_1720683729.jpg
Chiots Dalmatiens,450000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_1396092_uploaded_image1_1577444313.67.png
Chiots husky sibérien - dog argentin - cane corso,350000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_1477206_uploaded_image1_1578994405.03.png
Caniche,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4634226_uploaded_image1_1710001956.jpg
Chiot Caniche,140000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4546796_uploaded_image1_1705343315.jpg
Caniche,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4634226_uploaded_image1_1710001956.jpg
Chiots akita américain,990000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_1536386_uploaded_image1_1580821754.85.png
Chiots Spitz nain Pomeranian,1900000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2578678_uploaded_image1_1598473259.jpg
Doberman,400000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1621541_uploaded_image1_1581266142.61.png
Chiot berger belge malinois,175000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_1628361_uploaded_image1_1581360490.25.png
Cani corso,600000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1716117_uploaded_image1_1582837304.5.png
Chien Bichon,150000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4124637_uploaded_image1_1678229133.jpg
Doberman pure souche,350000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_1803179_uploaded_image1_1584379219.84.png
Caniche,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4634226_uploaded_image1_1710001956.jpg
Chiot,100,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3424026_uploaded_image3_1636184109.jpeg
Métisse chiots rottweiler,50000,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1890049_uploaded_image1_1585932795.82.png
