Name,Price,Adress,img_link
Poulet de chair,3000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_729710_uploaded_image1_1562719384.82.png
Lapin géant,70000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_761183_uploaded_image1_1563536095.25.png
Lapins,40000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_774940_uploaded_image1_1563940703.34.png
Poulets de chair,1500,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4696598_uploaded_image1_1713352074.jpg
Coqs Brahmane,5000,"Thies Ouest, Thiès, Sénégal",https://images.coinafrique.com/thumb_841858_uploaded_image1_1565838064.66.png
Lapin Buchka,7000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_848961_uploaded_image1_1566052780.75.png
Coq et poussins bleus,15000,Sénégal,https://images.coinafrique.com/thumb_855420_uploaded_image1_1566249496.28.png
Bleues d’Hollandes,15000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3879030_uploaded_image1_1663241521.jpg
Femelle GDF 4 mois,70000,"Médina, Dakar, Sénégal",https://images.coinafrique.com/thumb_862099_uploaded_image1_1566396428.28.png
Lapin nain noir adulte,10000,"Médina, Dakar, Sénégal",https://images.coinafrique.com/thumb_878312_uploaded_image1_1566833445.3.png
Poulet de chair,2500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_885789_uploaded_image1_1566997710.07.png
Coq Chochin,95000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4050293_uploaded_image1_1673730559.jpg
Poulets de chair,1500,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4696598_uploaded_image1_1713352074.jpg
Coq Cochin,50000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4030997_uploaded_image1_1672682387.jpg
Poussins bantam,15000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_899477_uploaded_image1_1567385912.28.png
Barahmane,15000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_899487_uploaded_image1_1567386142.96.png
