web-scraper-order,web-scraper-start-url,containers,containers-href,Name,Price,Adress,img_link
"1732707822-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Prix sur demande","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-et-lapereaux-angora-californien-729692","Lapins et lapereaux Angora Californien","Prix sur demande","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_729692_uploaded_image1_1562719154.82.png"
"1732707825-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","3 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-729710","Poulet de chair","3 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_729710_uploaded_image1_1562719384.82.png"
"1732707827-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Prix sur demande","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-et-lapereaux-angora-californien-729715","Lapins et lapereaux angora Californien","Prix sur demande","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_729715_uploaded_image1_1562719494.94.png"
"1732707830-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","70 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-761183","Lapin géant","70 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_761183_uploaded_image1_1563536095.25.png"
"1732707833-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","40 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-774940","Lapins","40 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_774940_uploaded_image1_1563940703.34.png"
"1732707836-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","2 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-798654","Poulets de chair","1 500 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4696598_uploaded_image1_1713352074.jpg"
"1732707839-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","5 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coqs-brahmane-841858","Coqs Brahmane","5 000 CFA","Thies Ouest, Thiès, Sénégal","https://images.coinafrique.com/thumb_841858_uploaded_image1_1565838064.66.png"
"1732707841-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","7 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-buchka-848961","Lapin Buchka","7 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_848961_uploaded_image1_1566052780.75.png"
"1732707844-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","15 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-et-poussins-bleus-855420","Coq et poussins bleus","15 000 CFA","Sénégal","https://images.coinafrique.com/thumb_855420_uploaded_image1_1566249496.28.png"
"1732707855-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","800CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/race-bleu-d-hollande-858710","Bleues d’Hollandes","15 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3879030_uploaded_image1_1663241521.jpg"
"1732707857-11","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","70 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-gdf-4-mois-862099","Femelle GDF 4 mois","70 000 CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_862099_uploaded_image1_1566396428.28.png"
"1732707860-12","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","10 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-nain-noir-adulte-878312","Lapin nain noir adulte","10 000 CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_878312_uploaded_image1_1566833445.3.png"
"1732707863-13","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","2 500CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-885789","Poulet de chair","2 500 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_885789_uploaded_image1_1566997710.07.png"
"1732707865-14","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","800CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coqs-et-poussins-886578","Coq Chochin","95 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4050293_uploaded_image1_1673730559.jpg"
"1732707868-15","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","2 500CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-886584","Poulets de chair","1 500 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4696598_uploaded_image1_1713352074.jpg"
"1732707871-16","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","30 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-899472","Coq Cochin","50 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4030997_uploaded_image1_1672682387.jpg"
"1732707873-17","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","15 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-bantam-899477","Poussins bantam","15 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_899477_uploaded_image1_1567385912.28.png"
"1732707876-18","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","15 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/barahmane-899487","Barahmane","15 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_899487_uploaded_image1_1567386142.96.png"
"1732707878-19","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","30 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-cochin-bleu-899496","Femelle Cochin bleu","30 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_899496_uploaded_image1_1567386467.81.png"
"1732707881-20","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Prix sur demande","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-908730","Poulet de chair","Prix sur demande","Pikine, Sénégal","https://images.coinafrique.com/thumb_908730_uploaded_image1_1567603082.63.png"
"1732707883-21","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","8 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-bantam-912493","Poussins Bantam","8 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_912493_uploaded_image1_1567685916.85.png"
"1732707886-22","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","7 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bouldolande-944280","Bouldolande","7 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_944280_uploaded_image1_1568469542.41.png"
"1732707889-23","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Prix sur demande","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-pigeon-lapin-944363","Poulet - Pigeon  - Lapin","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_944363_uploaded_image1_1568471599.26.png"
"1732707891-24","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","30 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paons-pigeons-968953","Pigeon pan indien","10 000 CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_4996843_uploaded_image1_1729085675.jpg"
"1732707894-25","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","7 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poules-977534","Poule Brahma","70 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_5058495_uploaded_image1_1732389500.jpg"
"1732707896-26","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","11 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-angora-californien-993655","Lapin angora californien","15 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1014679_uploaded_image1_1570023780.43.png"
"1732707899-27","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","35 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/brahmane-poules-1006369","Poule Brahma","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4936101_uploaded_image1_1725915391.jpg"
"1732707901-28","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","15 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bleus-dhollande-1006380","","","",""
"1732707904-29","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","20 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1006407","Pigeon voyageur","Prix sur demande","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_4946879_uploaded_image1_1726499763.jpg"
"1732707906-30","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","25 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1006413","Pigeon voyageur","Prix sur demande","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_4946879_uploaded_image1_1726499763.jpg"
"1732707909-31","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","20 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1006424","Pigeon voyageur","Prix sur demande","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_4946879_uploaded_image1_1726499763.jpg"
"1732707911-32","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","15 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-angora-californien-1014679","Lapin angora californien","15 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1014679_uploaded_image1_1570023780.43.png"
"1732707914-33","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","45 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-1023073","Lapins de race","80 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1364891_uploaded_image1_1576778546.81.png"
"1732707917-34","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","75 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/perroquet-1040990","Perroquet","75 000 CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_1040990_uploaded_image1_1570583700.42.png"
"1732707919-35","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","35 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-des-flandres-1072763","Lapin géant des Flandres","35 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1072763_uploaded_image1_1571252694.33.png"
"1732707922-36","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Prix sur demande","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-links-1091921","Pigeon links","Prix sur demande","Diourbel, Sénégal","https://images.coinafrique.com/thumb_1091921_uploaded_image1_1571681099.26.png"
"1732707924-37","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","50 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-pigeons-cravates-francais-1112720","Couple Pigeon Cravate","30 000 CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_2082389_uploaded_image1_1588989025.jpg"
"1732707927-38","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","25 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bleu-hollandais-1115010","Œufs à couver","12 500 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4651892_uploaded_image1_1710962341.jpg"
"1732707930-39","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Prix sur demande","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1137405","Pigeons","Prix sur demande","Fatick, Sénégal","https://images.coinafrique.com/thumb_1137405_uploaded_image2_1572537461.89.png"
